Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
0.4,33.3333,100,10000,12000,1e+006,true,10,0.660923,0.0198297,0.600452,4.20437e-005
0.5,41.6667,125,10000,12000,1e+006,true,10,0.964584,0.0231338,0.500439,0.000395212
0.6,50,150,10000,12000,1e+006,true,10,1.45159,0.0290524,0.401686,0.0021788
0.7,58.3333,175,10000,12000,1e+006,true,10,2.11183,0.0365037,0.306499,0.00916168
0.8,66.6667,200,10000,12000,1e+006,true,10,2.96781,0.0456816,0.218887,0.0234199
0.9,75,225,10000,12000,1e+006,true,10,3.94859,0.055445,0.146923,0.049518
1,83.3333,250,10000,12000,1e+006,true,10,5.00767,0.0659869,0.091222,0.0913993
1.1,91.6667,275,10000,12000,1e+006,true,10,5.93321,0.0752562,0.0538511,0.139721
1.2,100,300,10000,12000,1e+006,true,10,6.70417,0.0830848,0.0315645,0.193146
1.3,108.333,325,10000,12000,1e+006,true,10,7.32132,0.0892714,0.017866,0.244212
1.4,116.667,350,10000,12000,1e+006,true,10,7.78006,0.0942019,0.0100122,0.292485
1.5,125,375,10000,12000,1e+006,true,10,8.13685,0.0982958,0.00577364,0.338464
1.6,133.333,400,10000,12000,1e+006,true,10,8.39498,0.101023,0.00332956,0.37645
1.7,141.667,425,10000,12000,1e+006,true,10,8.60614,0.103477,0.00207029,0.413
1.8,150,450,10000,12000,1e+006,true,10,8.76958,0.105184,0.00111123,0.444553
1.9,158.333,475,10000,12000,1e+006,true,10,8.89273,0.106663,0.000799416,0.473179
2,166.667,500,10000,12000,1e+006,true,10,9.0063,0.108143,0.000460956,0.500385
