Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
5,416.667,1250,10000,12000,1e+006,true,10,9.75013,0.117074,4.79747e-007,0.800253
5.4,450,1350,10000,12000,1e+006,true,10,9.77341,0.117449,2.22193e-007,0.814941
5.8,483.333,1450,10000,12000,1e+006,true,10,9.79053,0.117243,6.89655e-008,0.827139
6.2,516.667,1550,10000,12000,1e+006,true,10,9.8086,0.11791,1.93536e-007,0.839048
6.6,550,1650,10000,12000,1e+006,true,10,9.82102,0.117817,3.63592e-007,0.848471
7,583.333,1750,10000,12000,1e+006,true,10,9.83377,0.11801,1.14293e-007,0.857134
7.4,616.667,1850,10000,12000,1e+006,true,10,9.84343,0.117984,1.6215e-007,0.864699
7.8,650,1950,10000,12000,1e+006,true,10,9.85325,0.118055,2.05077e-007,0.871762
8.2,683.333,2050,10000,12000,1e+006,true,10,9.86112,0.11818,1.46305e-007,0.877903
8.6,716.667,2150,10000,12000,1e+006,true,10,9.86786,0.117947,9.30232e-008,0.883236
9,750,2250,10000,12000,1e+006,true,10,9.8752,0.118418,1.33334e-007,0.888762
9.4,783.333,2350,10000,12000,1e+006,true,10,9.88058,0.118414,1.27623e-007,0.893538
9.8,816.667,2450,10000,12000,1e+006,true,10,9.88671,0.118724,4.08105e-008,0.898018
