Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
5,416.667,1250,10000,12000,1e+006,true,40,39.7491,0.477052,1.60063e-007,0.800023
5.4,450,1350,10000,12000,1e+006,true,40,39.7724,0.477589,2.96205e-007,0.81499
5.8,483.333,1450,10000,12000,1e+006,true,40,39.7918,0.477744,6.89637e-008,0.827713
6.2,516.667,1550,10000,12000,1e+006,true,40,39.8078,0.477689,3.86979e-007,0.838767
6.6,550,1650,10000,12000,1e+006,true,40,39.8209,0.478042,1.81759e-007,0.848508
7,583.333,1750,10000,12000,1e+006,true,40,39.8332,0.47747,1.14258e-007,0.857092
7.4,616.667,1850,10000,12000,1e+006,true,40,39.8431,0.477045,3.24287e-007,0.864682
7.8,650,1950,10000,12000,1e+006,true,40,39.8531,0.477148,1.53862e-007,0.871596
8.2,683.333,2050,10000,12000,1e+006,true,40,39.8608,0.478323,9.75365e-008,0.878106
8.6,716.667,2150,10000,12000,1e+006,true,40,39.8679,0.477266,9.30184e-008,0.883411
9,750,2250,10000,12000,1e+006,true,40,39.8752,0.478866,1.33328e-007,0.888963
9.4,783.333,2350,10000,12000,1e+006,true,40,39.8806,0.477752,4.25472e-008,0.893488
9.8,816.667,2450,10000,12000,1e+006,true,40,39.8861,0.478122,1.22427e-007,0.897914
