Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
0.5,41.6667,125,10000,12000,1e+006,true,40,0.802125,0.0192993,0.500265,0
0.6,50,150,10000,12000,1e+006,true,40,1.07506,0.0214223,0.399671,0
0.7,58.3333,175,10000,12000,1e+006,true,40,1.42599,0.0243897,0.29951,0
0.8,66.6667,200,10000,12000,1e+006,true,40,1.91515,0.0287076,0.199997,0
0.9,75,225,10000,12000,1e+006,true,40,2.71495,0.0362002,0.099969,0
1,83.3333,250,10000,12000,1e+006,true,40,10.322,0.123956,1.43993e-005,0
1.1,91.6667,275,10000,12000,1e+006,true,40,30.8396,0.37144,0.00214687,0.0933882
1.2,100,300,10000,12000,1e+006,true,40,34.974,0.419764,0.000110707,0.166933
1.3,108.333,325,10000,12000,1e+006,true,40,36.693,0.440813,1.35377e-005,0.231043
1.4,116.667,350,10000,12000,1e+006,true,40,37.5084,0.450212,2.56988e-006,0.286253
1.5,125,375,10000,12000,1e+006,true,40,38.0083,0.456035,1.06599e-006,0.333468
