Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
0.25,20.8333,62.5,10000,12000,1e+006,false,5,0.316275,0.0151433,0.749554,0
0.35,29.1667,87.5,10000,12000,1e+006,false,5,0.485564,0.016619,0.650046,0
0.45,37.5,112.5,10000,12000,1e+006,false,5,0.825871,0.0219096,0.547595,0
0.55,45.8333,137.5,10000,12000,1e+006,false,5,0.930705,0.0203194,0.449867,0
0.65,54.1667,162.5,10000,12000,1e+006,false,5,1.23835,0.0228657,0.349764,0
0.75,62.5,187.5,10000,12000,1e+006,false,5,1.6466,0.0263692,0.249722,0
0.85,70.8333,212.5,10000,12000,1e+006,false,5,5.54509,0.0784473,0.151712,0
0.95,79.1667,237.5,10000,12000,1e+006,false,5,3.45694,0.043631,0.0500468,0
