Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
0.4,33.3333,100,10000,12000,1e+006,true,40,0.581879,0.017416,0.599215,0
0.5,41.6667,125,10000,12000,1e+006,true,40,0.803737,0.0192598,0.499407,0
0.6,50,150,10000,12000,1e+006,true,40,1.07734,0.0215479,0.400279,0
0.7,58.3333,175,10000,12000,1e+006,true,40,1.42784,0.0244792,0.300114,0
0.8,66.6667,200,10000,12000,1e+006,true,40,1.91724,0.0287679,0.199639,0
0.9,75,225,10000,12000,1e+006,true,40,8.34916,0.111585,0.104069,0.00159085
1,83.3333,250,10000,12000,1e+006,true,40,10.3719,0.12416,1.15819e-005,0
1.1,91.6667,275,10000,12000,1e+006,true,40,30.7233,0.370181,0.00234917,0.0928013
1.2,100,300,10000,12000,1e+006,true,40,35.081,0.421337,5.50037e-005,0.166957
1.3,108.333,325,10000,12000,1e+006,true,40,36.6819,0.439671,4.92421e-006,0.230554
1.4,116.667,350,10000,12000,1e+006,true,40,37.5063,0.449668,2.00109e-006,0.285675
1.5,125,375,10000,12000,1e+006,true,40,38.0134,0.456731,8.00079e-007,0.333215
1.6,133.333,400,10000,12000,1e+006,true,40,38.3257,0.459294,1.75002e-006,0.374401
1.7,141.667,425,10000,12000,1e+006,true,40,38.5788,0.463546,9.41438e-007,0.412423
1.8,150,450,10000,12000,1e+006,true,40,38.7437,0.464619,6.66773e-007,0.444
1.9,158.333,475,10000,12000,1e+006,true,40,38.883,0.466338,8.42416e-007,0.473168
2,166.667,500,10000,12000,1e+006,true,40,39.0035,0.468165,1.60025e-006,0.500433
