Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
0.25,20.8333,62.5,10000,12000,1e+006,false,5,0.314964,0.0151581,0.750343,0
0.35,29.1667,87.5,10000,12000,1e+006,false,5,0.484618,0.0166035,0.6495,0
0.45,37.5,112.5,10000,12000,1e+006,false,5,0.686311,0.0183104,0.549858,0
0.55,45.8333,137.5,10000,12000,1e+006,false,5,0.928608,0.0203121,0.450467,0
0.65,54.1667,162.5,10000,12000,1e+006,false,5,1.23469,0.0228223,0.350348,0
0.75,62.5,187.5,10000,12000,1e+006,false,5,1.64284,0.026241,0.249997,0
0.85,70.8333,212.5,10000,12000,1e+006,false,5,2.23955,0.0315762,0.150285,0
0.95,79.1667,237.5,10000,12000,1e+006,false,5,3.45785,0.0436618,0.0500643,0
