Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
2,166.667,500,10000,12000,1e+006,true,40,38.9999,0.468318,1.19983e-006,0.500106
2.2,183.333,550,10000,12000,1e+006,true,40,39.1654,0.469814,3.81682e-006,0.545467
2.4,200,600,10000,12000,1e+006,true,40,39.2873,0.471719,4.999e-007,0.583397
2.6,216.667,650,10000,12000,1e+006,true,40,39.3737,0.471638,6.15236e-007,0.614948
2.8,233.333,700,10000,12000,1e+006,true,40,39.4446,0.472994,2.85415e-007,0.642977
3,250,750,10000,12000,1e+006,true,40,39.4988,0.473482,2.6655e-007,0.666477
3.2,266.667,800,10000,12000,1e+006,true,40,39.5439,0.474222,2.50095e-007,0.687121
3.4,283.333,850,10000,12000,1e+006,true,40,39.5826,0.475189,3.52968e-007,0.705927
3.6,300,900,10000,12000,1e+006,true,40,39.6157,0.475268,2.22265e-007,0.722126
3.8,316.667,950,10000,12000,1e+006,true,40,39.6421,0.475095,3.15782e-007,0.736599
4,333.333,1000,10000,12000,1e+006,true,40,39.668,0.475801,2.00019e-007,0.749945
4.2,350,1050,10000,12000,1e+006,true,40,39.6881,0.477092,2.85693e-007,0.762379
4.4,366.667,1100,10000,12000,1e+006,true,40,39.7064,0.476331,6.36023e-007,0.772989
4.6,383.333,1150,10000,12000,1e+006,true,40,39.7224,0.47696,1.73879e-007,0.78287
4.8,400,1200,10000,12000,1e+006,true,40,39.736,0.476131,8.33289e-008,0.791322
5,416.667,1250,10000,12000,1e+006,true,40,39.7494,0.476595,7.99638e-008,0.799955
