Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
2,166.667,500,10000,12000,1e+006,true,10,8.99902,0.107924,0.000521144,0.498789
2.2,183.333,550,10000,12000,1e+006,true,10,9.1694,0.109896,0.000195232,0.544853
2.4,200,600,10000,12000,1e+006,true,10,9.29048,0.111727,0.000116748,0.58399
2.6,216.667,650,10000,12000,1e+006,true,10,9.3757,0.112431,3.98365e-005,0.615164
2.8,233.333,700,10000,12000,1e+006,true,10,9.44311,0.113179,2.66945e-005,0.642715
3,250,750,10000,12000,1e+006,true,10,9.50179,0.114111,2.26621e-005,0.66694
3.2,266.667,800,10000,12000,1e+006,true,10,9.54527,0.11449,5.24784e-006,0.687572
3.4,283.333,850,10000,12000,1e+006,true,10,9.58363,0.115037,2.35194e-006,0.706108
3.6,300,900,10000,12000,1e+006,true,10,9.61565,0.115237,2.22137e-006,0.722017
3.8,316.667,950,10000,12000,1e+006,true,10,9.64435,0.115899,1.05237e-006,0.73717
4,333.333,1000,10000,12000,1e+006,true,10,9.6667,0.115914,9.99974e-007,0.750059
4.2,350,1050,10000,12000,1e+006,true,10,9.68858,0.116444,7.61645e-007,0.762245
4.4,366.667,1100,10000,12000,1e+006,true,10,9.70569,0.116513,1.81879e-007,0.77277
4.6,383.333,1150,10000,12000,1e+006,true,10,9.72216,0.116666,6.95559e-007,0.782647
4.8,400,1200,10000,12000,1e+006,true,10,9.73696,0.116732,1.49972e-006,0.791454
5,416.667,1250,10000,12000,1e+006,true,10,9.74953,0.116958,8.00123e-008,0.799758
